date,PRCP,SNOW,TMAX,TMIN
1990-01-01,6.1,0.0,8.9,0.6
1990-01-02,0.0,0.0,6.7,-1.1
1990-01-03,0.0,0.0,11.7,1.7
1990-01-04,0.3,0.0,10.6,4.4
1990-01-05,0.0,0.0,9.4,3.3
1990-01-06,0.0,0.0,7.2,1.1
1990-01-07,0.0,0.0,7.2,-1.7
1990-01-08,24.9,25.0,5.6,0.6
1990-01-09,0.0,0.0,8.3,1.1
1990-01-10,0.8,0.0,8.3,5.0
1990-01-11,0.0,0.0,6.7,3.3
1990-01-12,0.0,0.0,5.0,-1.1
1990-01-13,0.0,0.0,0.6,-4.4
1990-01-14,0.0,0.0,2.2,-3.9
1990-01-15,3.3,0.0,5.0,0.0
1990-01-16,0.0,0.0,12.8,3.9
1990-01-17,0.0,0.0,17.2,7.8
1990-01-18,0.0,0.0,18.9,6.7
1990-01-19,0.0,0.0,7.2,-0.6
1990-01-20,14.0,20.0,2.2,-0.6
1990-01-21,8.9,0.0,2.8,1.1
1990-01-22,1.5,0.0,8.3,1.1
1990-01-23,0.0,0.0,7.2,2.8
1990-01-24,0.0,0.0,13.3,5.6
1990-01-25,28.2,0.0,13.3,7.2
1990-01-26,7.9,0.0,15.0,2.8
1990-01-27,0.0,0.0,7.2,-0.6
1990-01-28,0.0,0.0,14.4,3.3
1990-01-29,26.2,0.0,6.1,2.2
1990-01-30,13.7,0.0,7.8,2.8
1990-01-31,0.0,0.0,10.6,0.0
1990-02-01,0.0,0.0,11.7,2.8
1990-02-02,2.3,0.0,11.7,3.9
1990-02-03,2.0,0.0,3.9,-0.6
1990-02-04,8.4,0.0,4.4,0.6
1990-02-05,0.0,0.0,2.8,-5.0
1990-02-06,0.0,0.0,12.2,0.0
1990-02-07,0.0,0.0,11.7,5.0
1990-02-08,0.0,0.0,14.4,2.8
1990-02-09,0.0,0.0,17.2,7.2
1990-02-10,21.1,0.0,16.1,1.7
1990-02-11,0.0,0.0,8.9,0.0
1990-02-12,0.0,0.0,7.8,0.0
1990-02-13,0.0,0.0,10.6,-0.6
1990-02-14,0.3,0.0,14.4,5.6
1990-02-15,3.8,0.0,5.6,1.1
1990-02-16,1.0,0.0,12.8,2.2
1990-02-17,0.0,0.0,14.4,-5.0
1990-02-18,0.0,0.0,3.3,-7.2
1990-02-19,0.0,0.0,13.3,0.6
1990-02-20,0.0,0.0,1.7,-3.3
1990-02-21,0.0,0.0,9.4,-4.4
1990-02-22,5.1,0.0,17.2,2.2
1990-02-23,5.6,0.0,18.3,10.0
1990-02-24,4.3,0.0,10.0,-1.1
1990-02-25,5.3,46.0,0.6,-12.2
1990-02-26,0.0,0.0,-3.9,-13.9
1990-02-27,0.0,0.0,1.7,-5.6
1990-02-28,0.0,0.0,3.9,-2.8
1990-03-01,0.0,0.0,5.6,-5.0
1990-03-02,0.0,0.0,12.2,0.0
1990-03-03,0.0,0.0,11.7,3.9
1990-03-04,0.0,0.0,4.4,-5.0
1990-03-05,0.0,0.0,3.3,-3.9
1990-03-06,11.2,79.0,0.6,-5.6
1990-03-07,0.0,0.0,1.7,-10.6
1990-03-08,0.0,0.0,7.8,-3.9
1990-03-09,0.0,0.0,8.9,0.6
1990-03-10,0.0,0.0,11.7,5.6
1990-03-11,1.3,0.0,19.4,7.2
1990-03-12,0.0,0.0,15.6,7.2
1990-03-13,0.0,0.0,29.4,6.1
1990-03-14,0.0,0.0,20.0,6.1
1990-03-15,0.0,0.0,25.0,5.6
1990-03-16,0.0,0.0,27.8,12.8
1990-03-17,17.0,0.0,22.2,11.7
1990-03-18,12.2,0.0,15.6,8.9
1990-03-19,0.3,0.0,13.3,5.6
1990-03-20,26.7,0.0,10.6,3.9
1990-03-21,0.5,0.0,12.2,2.8
1990-03-22,0.0,0.0,14.4,5.6
1990-03-23,0.0,0.0,20.6,2.2
1990-03-24,0.0,0.0,3.9,0.6
1990-03-25,0.0,0.0,9.4,1.1
1990-03-26,0.0,0.0,13.3,0.6
1990-03-27,0.0,0.0,6.1,-3.3
1990-03-28,0.0,0.0,11.7,-1.1
1990-03-29,0.5,0.0,10.0,2.8
1990-03-30,21.8,0.0,5.0,2.2
1990-03-31,1.0,0.0,9.4,2.8
1990-04-01,0.0,0.0,8.3,5.6
1990-04-02,0.0,0.0,10.0,6.7
1990-04-03,36.1,0.0,7.8,5.0
1990-04-04,0.0,0.0,8.3,5.0
1990-04-05,0.0,0.0,14.4,5.6
1990-04-06,2.0,0.0,11.1,4.4
1990-04-07,6.4,15.0,10.6,0.6
1990-04-08,0.0,0.0,10.0,1.1
1990-04-09,0.0,0.0,16.7,4.4
1990-04-10,3.6,0.0,21.1,8.9
1990-04-11,7.9,0.0,17.2,4.4
1990-04-12,0.0,0.0,12.2,3.3
1990-04-13,0.0,0.0,11.7,0.6
1990-04-14,3.8,0.0,12.2,4.4
